destination_id,name,location,latitude,longitude,category,description,activities,difficulty_level,best_season,avg_cost_per_day,duration_days,popularity_score,altitude,permits_required,image_url
1,Everest Base Camp,Solukhumbu,27.9881,86.9250,Trekking,"Everest Base Camp trek is one of the most iconic trekking routes in the world. The journey takes you through stunning Sherpa villages, ancient monasteries, and breathtaking mountain landscapes. You'll experience the unique culture of the Khumbu region while witnessing magnificent views of the world's highest peaks including Mount Everest, Lhotse, and Ama Dablam. The trek typically starts from Lukla and passes through Namche Bazaar, Tengboche, Dingboche, and Gorak Shep before reaching the base camp at 5,364 meters.","[""trekking"",""photography"",""cultural immersion"",""mountaineering""]",4,Autumn,50,14,95,5364,true,https://example.com/everest.jpg
2,Pokhara Valley,Kaski,28.2096,83.9856,Nature,"Pokhara is Nepal's adventure capital and second-largest city, nestled beside the tranquil Phewa Lake with stunning views of the Annapurna range. This lakeside paradise offers a perfect blend of natural beauty, adventure activities, and relaxation. Visitors can enjoy boating on Phewa Lake, visit the World Peace Pagoda, explore mysterious caves, or simply relax in lakeside cafes. The city serves as a gateway to numerous treks and is famous for paragliding with spectacular mountain views.","[""paragliding"",""boating"",""trekking"",""cave exploration"",""relaxation""]",1,All,35,3,92,800,false,https://example.com/pokhara.jpg
3,Chitwan National Park,Chitwan,27.5291,84.3542,Wildlife,"Chitwan National Park is Nepal's first national park and a UNESCO World Heritage Site, protecting one of Asia's finest wildlife reserves. The park is home to the endangered one-horned rhinoceros, Royal Bengal tiger, gharial crocodile, and over 500 bird species. Visitors can enjoy jungle safaris on elephant back or in 4WD vehicles, canoe rides along the Rapti River, and guided jungle walks. The experience also includes cultural programs by the indigenous Tharu people, showcasing their unique dances and traditions.","[""jungle safari"",""wildlife watching"",""bird watching"",""canoe ride"",""cultural program""]",1,Winter,45,2,88,150,false,https://example.com/chitwan.jpg
4,Kathmandu Durbar Square,Kathmandu,27.7042,85.3071,Cultural,"Kathmandu Durbar Square is a historic plaza facing the old royal palace of the former Kathmandu Kingdom, now a UNESCO World Heritage Site. This architectural showpiece showcases the finest examples of Newari craftsmanship, with intricately carved wooden windows and doors, pagoda-style temples, and ornate statues. The square houses numerous temples including the revered Kumari Ghar (house of the living goddess), Kasthamandap temple, and Hanuman Dhoka palace. It's a living museum where centuries-old traditions continue to thrive amidst ancient monuments.","[""heritage walk"",""photography"",""cultural immersion"",""architecture appreciation""]",1,All,25,1,85,1400,false,https://example.com/kathmandu-durbar.jpg
5,Annapurna Circuit,Manang,28.7500,84.0167,Trekking,"The Annapurna Circuit is considered one of the world's classic long-distance treks, circumnavigating the Annapurna massif. This epic journey takes you through diverse landscapes from lush subtropical forests to high-altitude desert, crossing the challenging Thorong La Pass at 5,416 meters. Trekkers experience a remarkable variety of cultures, from Hindu lowlands through Buddhist highlands, while enjoying spectacular views of Annapurna, Dhaulagiri, and Manaslu peaks. The trek showcases Nepal's incredible biodiversity and cultural diversity.","[""trekking"",""cultural exploration"",""photography"",""high-altitude hiking""]",4,Autumn,40,18,90,5416,true,https://example.com/annapurna-circuit.jpg
6,Lumbini,Rupandehi,27.4833,83.2764,Religious,"Lumbini is the birthplace of Lord Buddha and one of the most sacred pilgrimage sites for Buddhists worldwide, designated as a UNESCO World Heritage Site. The site features the sacred Maya Devi Temple marking the exact birthplace, the ancient Ashoka Pillar erected in 249 BC, and numerous international monasteries built in diverse architectural styles. Visitors can explore the peaceful monastic zone, meditate in serene gardens, and learn about Buddhism's origins. The site offers a profound spiritual experience and insight into Buddhist philosophy and culture.","[""pilgrimage"",""meditation"",""cultural learning"",""monastery visits""]",1,All,30,2,82,100,false,https://example.com/lumbini.jpg
7,Bhaktapur Durbar Square,Bhaktapur,27.6715,85.4274,Cultural,"Bhaktapur Durbar Square is a stunning medieval city square in the ancient city of Bhaktapur, showcasing the pinnacle of Newari architecture and craftsmanship. This UNESCO World Heritage Site features the 55-Window Palace, Golden Gate, Lion Gate, and numerous temples with exquisite woodcarvings. The square is less crowded than Kathmandu's, offering a more authentic experience of traditional Newari life. Visitors can witness pottery-making in Potter's Square, taste famous Juju Dhau (king yogurt), and explore narrow alleyways lined with traditional brick buildings.","[""heritage walk"",""photography"",""pottery making"",""local cuisine tasting""]",1,All,28,1,80,1340,false,https://example.com/bhaktapur.jpg
8,Rara Lake,Mugu,29.5333,82.0833,Nature,"Rara Lake is Nepal's largest lake and one of its most remote treasures, located in the far northwestern region. This pristine alpine lake sits at 2,990 meters surrounded by Rara National Park, offering crystal-clear waters that reflect the surrounding pine forests and snow-capped peaks. The area is home to rare wildlife including red panda, musk deer, and Himalayan black bear. The lake's serene beauty and remote location make it perfect for those seeking solitude and unspoiled nature. The journey here is an adventure in itself, passing through remote villages rarely visited by tourists.","[""trekking"",""camping"",""wildlife watching"",""photography"",""boating""]",3,Autumn,35,7,65,2990,true,https://example.com/rara-lake.jpg
9,Patan Durbar Square,Lalitpur,27.6729,85.3256,Cultural,"Patan Durbar Square is the heart of the ancient city of Lalitpur, renowned as Nepal's finest collection of Newari architecture. This UNESCO World Heritage Site boasts an extraordinary concentration of temples with stunning stone and metal craftsmanship. The square features the Krishna Mandir with its intricate stone carvings, the Patan Museum housed in the old palace showcasing exquisite metalwork, and numerous smaller temples. Patan is known as the city of fine arts, and visitors can watch traditional craftsmen creating metalwork, wood carvings, and thangka paintings in surrounding workshops.","[""heritage walk"",""museum visit"",""art appreciation"",""craft shopping""]",1,All,27,1,78,1310,false,https://example.com/patan.jpg
10,Langtang Valley,Rasuwa,28.2167,85.5500,Trekking,"Langtang Valley trek offers a perfect introduction to Himalayan trekking with stunning mountain scenery, diverse flora and fauna, and authentic Tamang culture. The valley was severely affected by the 2015 earthquake but has since recovered with rebuilt villages and renewed trails. The trek takes you through beautiful rhododendron forests, yak pastures, and traditional villages with Tibetan-influenced culture. Trekkers enjoy magnificent views of Langtang Lirung, can visit the sacred Gosainkunda lakes, and experience warm hospitality in teahouses. The proximity to Kathmandu makes it accessible for those with limited time.","[""trekking"",""cultural immersion"",""photography"",""wildlife spotting""]",3,Spring,38,10,75,4500,true,https://example.com/langtang.jpg
11,Pashupatinath Temple,Kathmandu,27.7103,85.3482,Religious,"Pashupatinath Temple is one of the most sacred Hindu temples dedicated to Lord Shiva and a UNESCO World Heritage Site. Located on the banks of the holy Bagmati River, this temple complex is the most important Shiva shrine in Nepal and attracts thousands of devotees daily. The main temple features magnificent gold-plated roofs and intricate wood carvings, though only Hindus may enter. Visitors can observe Hindu cremation ceremonies along the riverbanks, witness evening aarti rituals, and explore numerous smaller shrines and ashrams. Sadhus (holy men) in colorful attire add to the spiritual atmosphere.","[""pilgrimage"",""cultural observation"",""photography"",""spiritual experience""]",1,All,20,1,87,1450,false,https://example.com/pashupatinath.jpg
12,Upper Mustang,Mustang,28.9833,83.9667,Cultural,"Upper Mustang is a remote and restricted region that was once an independent kingdom, preserving ancient Tibetan Buddhist culture and traditions. This high-desert landscape features dramatic cliffs, deep canyons, and centuries-old cave dwellings carved into cliffsides. The walled city of Lo Manthang, with its 15th-century monasteries and royal palace, serves as the region's capital. Trekkers experience a stark, otherworldly beauty with views of Annapurna and Dhaulagiri ranges. The region's isolation has preserved its unique culture, making it one of the world's last remaining pockets of traditional Tibetan culture.","[""trekking"",""cultural exploration"",""photography"",""monastery visits""]",3,Spring,60,12,70,3840,true,https://example.com/mustang.jpg
13,Nagarkot,Bhaktapur,27.7172,85.5197,Nature,"Nagarkot is a hill station famous for its panoramic sunrise views over the Himalayas, including Mount Everest on clear days. Located just 32 km from Kathmandu, it offers easy access to spectacular mountain scenery without trekking. Visitors can enjoy breathtaking sunrise and sunset views spanning eight Himalayan ranges, pleasant walks through terraced farmlands and pine forests, and peaceful rural village life. Nagarkot serves as an excellent weekend getaway with numerous resort options ranging from budget to luxury. The area also offers good hiking and mountain biking trails.","[""sunrise viewing"",""hiking"",""photography"",""mountain biking"",""relaxation""]",1,Winter,40,2,72,2175,false,https://example.com/nagarkot.jpg
14,Bardiya National Park,Bardiya,28.5000,81.5000,Wildlife,"Bardiya National Park is Nepal's largest and most pristine national park, offering exceptional wildlife viewing in a remote, unspoiled setting. The park protects endangered species including the Royal Bengal tiger, one-horned rhinoceros, wild elephants, and Gangetic dolphins in the Karnali River. Unlike Chitwan, Bardiya receives fewer visitors, providing a more authentic jungle experience. Safari activities include elephant safaris, jungle walks with armed guards, river rafting, and cultural visits to Tharu villages. The park's diverse ecosystems range from riverine forests to grasslands and sal forests.","[""jungle safari"",""wildlife photography"",""bird watching"",""river rafting"",""cultural tours""]",2,Winter,42,3,68,180,false,https://example.com/bardiya.jpg
15,Tilicho Lake,Manang,28.6833,83.8500,Adventure,"Tilicho Lake is one of the highest lakes in the world at 4,919 meters, located in the Annapurna region. This stunning glacial lake features turquoise waters set against dramatic mountain scenery including Tilicho Peak and Nilgiri. The trek to Tilicho Lake is challenging but rewarding, taking trekkers through diverse landscapes from forests to high-altitude desert. The lake holds religious significance in Hindu mythology and is mentioned in ancient texts. The journey offers solitude, spectacular views, and a sense of achievement for adventurous trekkers willing to venture off the beaten path.","[""high-altitude trekking"",""photography"",""adventure"",""mountaineering""]",4,Autumn,45,5,73,4919,true,https://example.com/tilicho.jpg
16,Janakpur,Dhanusha,26.7288,85.9244,Religious,"Janakpur is a sacred city for Hindus, believed to be the birthplace of Goddess Sita and the place where she married Lord Rama. The magnificent Janaki Mandir, built in Mughal and Rajput style, dominates the city center with its gleaming white marble. During festivals, especially Ram Navami and Vivah Panchami, the city comes alive with thousands of pilgrims. Janakpur showcases unique Maithili culture, featuring intricate Mithila paintings created by local women. The city offers insight into Terai culture and traditions distinct from the mountain regions.","[""pilgrimage"",""cultural immersion"",""festival participation"",""art appreciation""]",1,Winter,25,2,65,77,false,https://example.com/janakpur.jpg
17,Manaslu Circuit,Gorkha,28.5500,84.5500,Trekking,"The Manaslu Circuit trek circumnavigates Mount Manaslu (8,163m), the world's eighth-highest mountain, offering a less-crowded alternative to Annapurna Circuit. This challenging trek crosses the Larkya La Pass at 5,160 meters, passes through diverse landscapes from subtropical forests to high-altitude terrain, and visits remote villages where ancient Tibetan-influenced culture thrives. Trekkers encounter Buddhist monasteries, prayer flags, and warm hospitality in traditional villages. The restricted area status limits visitor numbers, preserving the trail's pristine nature and cultural authenticity.","[""trekking"",""cultural exploration"",""high-altitude hiking"",""photography""]",4,Autumn,48,16,77,5160,true,https://example.com/manaslu.jpg
18,Ilam Tea Gardens,Ilam,26.9092,87.9296,Nature,"Ilam is Nepal's tea capital, featuring rolling hills covered with lush green tea plantations that produce some of the finest orthodox tea. The region's natural beauty includes waterfalls, forests, and panoramic views of Kanchenjunga, the world's third-highest mountain. Visitors can tour tea factories, learn about tea processing, stay in homestays with local families, and explore beautiful gardens and viewpoints. The area offers pleasant walks through tea estates, visits to nearby waterfalls, and opportunities to experience rural hill life. Ilam provides a peaceful retreat and insight into Nepal's tea industry.","[""tea plantation tours"",""hiking"",""photography"",""homestay experience"",""nature walks""]",1,Spring,30,3,60,1200,false,https://example.com/ilam.jpg
19,Ghorepani Poon Hill,Kaski,28.3917,83.7000,Trekking,"Ghorepani Poon Hill trek is one of Nepal's most popular short treks, famous for spectacular sunrise views over the Annapurna and Dhaulagiri ranges. The trek passes through beautiful rhododendron forests that bloom spectacularly in spring, charming Gurung villages, and terraced farmlands. Poon Hill viewpoint at 3,210 meters offers a 360-degree panorama of major Himalayan peaks without requiring advanced trekking experience. The well-established trail features comfortable teahouses and is perfect for families and beginners. The trek can be completed in 4-5 days from Pokhara.","[""trekking"",""sunrise viewing"",""photography"",""cultural interaction""]",2,Spring,35,5,82,3210,false,https://example.com/poonhill.jpg
20,Boudhanath Stupa,Kathmandu,27.7215,85.3618,Religious,"Boudhanath Stupa is one of the largest Buddhist stupas in the world and a UNESCO World Heritage Site, serving as the heart of Tibetan Buddhism in Nepal. The massive mandala-shaped stupa features all-seeing eyes of Buddha painted on four sides and is surrounded by monasteries and shops selling Buddhist artifacts. Tibetan refugees have made Boudhanath their home, creating a vibrant community where traditional practices continue. Visitors can walk clockwise around the stupa spinning prayer wheels, observe monks in prayer, and experience the deeply spiritual atmosphere especially during festivals and full moon days.","[""pilgrimage"",""meditation"",""cultural immersion"",""monastery visits""]",1,All,22,1,88,1400,false,https://example.com/boudhanath.jpg
21,Gosaikunda Lake,Rasuwa,28.0833,85.4167,Religious,"Gosaikunda is a sacred alpine lake at 4,380 meters, an important Hindu and Buddhist pilgrimage site associated with Lord Shiva. According to legend, Shiva created the lake by thrusting his trident into the mountain to obtain water. The trek passes through beautiful forests, traditional Tamang villages, and eventually reaches the high-altitude sacred lake surrounded by mountains. During Janai Purnima festival in August, thousands of pilgrims make the journey. The area features several other holy lakes and can be combined with Langtang Valley trek. The pristine mountain environment and spiritual significance make this a unique destination.","[""trekking"",""pilgrimage"",""photography"",""camping""]",3,Summer,38,5,70,4380,false,https://example.com/gosaikunda.jpg
22,Bandipur,Tanahu,27.9358,84.4208,Cultural,"Bandipur is a beautifully preserved hilltop village that feels frozen in 18th-century Newari culture. This living museum features traditional architecture with wooden buildings, cobblestone streets, and no motorable roads in the main bazaar. The village offers stunning Himalayan views including Dhaulagiri, Manaslu, and the Annapurnas. Visitors experience authentic Newari culture, explore caves including Siddha Cave (one of South Asia's largest), and enjoy homestays with local families. Bandipur showcases successful community-based tourism and cultural preservation while offering a peaceful retreat from city life.","[""cultural immersion"",""heritage walk"",""cave exploration"",""photography"",""homestay""]",1,All,30,2,68,1030,false,https://example.com/bandipur.jpg
23,Koshi Tappu Wildlife Reserve,Sunsari,26.6500,87.0167,Wildlife,"Koshi Tappu Wildlife Reserve is a wetland reserve and a birdwatcher's paradise, home to over 485 bird species including endangered species like the swamp francolin and Bengal florican. The reserve protects the last remaining wild buffalo population (Arna) in Nepal and features diverse wetland ecosystems along the Koshi River. Bird enthusiasts can spot numerous migratory waterfowl, waders, and raptors especially in winter. Activities include boat safaris, village walks, and wildlife observation from watch towers. The reserve offers excellent bird photography opportunities and a different ecosystem from Nepal's other wildlife parks.","[""bird watching"",""boat safari"",""wildlife photography"",""nature walks""]",1,Winter,35,2,62,75,false,https://example.com/koshitappu.jpg
24,Tansen,Palpa,27.8667,83.5500,Cultural,"Tansen is a charming hilltop town known for its well-preserved Newari architecture, traditional Dhaka fabric weaving, and stunning mountain views. Located on the old trade route between India and Tibet, the town features winding cobblestone streets, temples, and traditional houses. Key attractions include Rani Mahal palace, Srinagar Hill viewpoint with sunrise views of the Himalayas, and numerous ancient temples. Tansen offers an authentic experience of middle-hills culture away from tourist crowds. Visitors can watch craftsmen weaving famous Tansen Dhaka fabric and explore the historic bazaar area.","[""cultural exploration"",""heritage walk"",""shopping for traditional crafts"",""photography""]",1,All,28,2,63,1350,false,https://example.com/tansen.jpg
25,Gokyo Lakes,Solukhumbu,27.9597,86.6906,Trekking,"Gokyo Lakes trek in the Everest region features a stunning chain of six turquoise glacial lakes set against spectacular mountain scenery. The trek offers an alternative to Everest Base Camp with equally impressive views and fewer crowds. Gokyo Ri viewpoint at 5,357 meters provides one of the best panoramas of Everest, Lhotse, Makalu, and Cho Oyu. The area showcases the massive Ngozumpa Glacier, Nepal's largest glacier, and offers opportunities for high-altitude lake exploration. The pristine lakes with their striking blue-green color create unforgettable photographic opportunities.","[""high-altitude trekking"",""photography"",""glacier exploration"",""mountaineering""]",4,Autumn,50,12,80,5357,true,https://example.com/gokyo.jpg
26,Kanchenjunga Base Camp,Taplejung,27.7025,88.1475,Trekking,"Kanchenjunga Base Camp trek takes you to the base of the world's third-highest mountain, offering stunning views of five peaks, pristine wilderness, and encounters with diverse ethnic communities including Limbu and Sherpa people.","[""trekking"",""mountaineering"",""photography"",""cultural immersion""]",5,Spring,55,21,72,5143,true,https://example.com/kanchenjunga.jpg
27,Swayambhunath Stupa,Kathmandu,27.7148,85.2906,Religious,"Swayambhunath, the Monkey Temple, is an ancient Buddhist complex atop a hill offering panoramic Kathmandu views. This UNESCO World Heritage Site features Buddha's all-seeing eyes, shrines, and holy monkeys.","[""pilgrimage"",""photography"",""cultural learning"",""city views""]",1,All,20,1,86,1500,false,https://example.com/swayambhunath.jpg
28,Shey Phoksundo Lake,Dolpa,29.2167,82.9167,Nature,"Shey Phoksundo is Nepal's deepest lake with stunning turquoise waters surrounded by mountains. Located in remote Dolpa, this pristine lake offers incredible natural beauty and Tibetan Buddhist culture.","[""trekking"",""photography"",""camping"",""cultural exploration""]",4,Autumn,48,12,66,3611,true,https://example.com/phoksundo.jpg
29,Kopan Monastery,Kathmandu,27.7333,85.3667,Religious,"Kopan Monastery is a Tibetan Buddhist monastery offering meditation courses and retreats. Situated on a hill north of Kathmandu, it provides peaceful surroundings, spiritual teachings, and valley views.","[""meditation"",""Buddhist learning"",""retreats"",""cultural immersion""]",1,All,28,3,64,1400,false,https://example.com/kopan.jpg
30,Khaptad National Park,Doti,29.4333,81.1667,Nature,"Khaptad National Park in far-western Nepal features rolling grasslands, forests, and diverse wildlife. Named after hermit Khaptad Baba, the park offers peaceful trekking, meditation sites, and rare flora.","[""trekking"",""wildlife watching"",""meditation"",""photography""]",2,Autumn,32,4,55,3000,false,https://example.com/khaptad.jpg
31,Changu Narayan,Bhaktapur,27.7164,85.4272,Religious,"Changu Narayan is Nepal's oldest Hindu temple dedicated to Vishnu, showcasing exquisite 4th-century stone and wood craftsmanship. This UNESCO site features ancient inscriptions and the finest statue collection in Kathmandu Valley.","[""heritage walk"",""photography"",""religious observation"",""art appreciation""]",1,All,22,1,71,1541,false,https://example.com/changu.jpg
32,Bardia Wildlife Reserve,Bardia,28.4167,81.4167,Wildlife,"Bardia Wildlife Reserve offers pristine jungle experiences with elephants, tigers, rhinoceros, and dolphins. Less crowded than Chitwan, it provides authentic wilderness encounters and Tharu cultural experiences.","[""jungle safari"",""wildlife photography"",""river activities"",""cultural tours""]",2,Winter,42,3,68,180,false,https://example.com/bardia.jpg
33,Namo Buddha,Kavre,27.5833,85.5833,Religious,"Namo Buddha is one of Buddhism's most sacred sites where Buddha gave his body to feed starving tiger cubs. The peaceful hilltop monastery offers meditation, Tibetan culture, and stunning Himalayan sunrise views.","[""pilgrimage"",""meditation"",""sunrise viewing"",""cultural learning""]",1,All,30,2,69,1750,false,https://example.com/namobuddha.jpg
34,Tilicho Lake,Manang,28.6833,83.8500,Adventure,"Tilicho Lake at 4,919m is one of the world's highest lakes, featuring turquoise glacial waters against dramatic peaks. This challenging side trek from Annapurna Circuit offers solitude and achievement.","[""high-altitude trekking"",""photography"",""mountaineering"",""adventure""]",4,Autumn,45,5,73,4919,true,https://example.com/tilicho.jpg
35,Ghandruk Village,Kaski,28.3667,83.8167,Cultural,"Ghandruk is a beautiful Gurung village with traditional stone houses, mountain views, and warm hospitality. The village offers cultural immersion, mountain museum, and serves as a trekking hub for Annapurna region.","[""cultural immersion"",""village tours"",""homestay"",""trekking"",""photography""]",1,All,30,2,75,2000,false,https://example.com/ghandruk.jpg
